day,operate,price,investment,total_balance
0,buy,168.8779232466221,0.0,9831.122076753378
1,buy,168.31345984339714,0.0,9662.80861690998
2,buy,173.42503901481626,0.0,9489.383577895165
3,buy,176.61985729217528,0.0,9312.76372060299
4,buy,178.86940250873565,0.0,9133.894318094255
5,buy,178.47646894931793,0.0,8955.417849144937
6,buy,178.00682473421097,0.0,8777.411024410725
7,buy,175.69554235458372,0.0,8601.71548205614
8,buy,179.13699360370637,0.0,8422.578488452435
9,buy,175.89456100821496,0.0,8246.683927444219
10,buy,180.33163629770277,0.0,8066.352291146516
11,buy,181.79134033441542,0.0,7884.560950812101
13,buy,180.52588125944138,0.0,7704.0350695526595
14,buy,179.93750827550886,0.0,7524.097561277151
16,buy,181.5479074239731,0.0,7342.549653853178
17,buy,184.47632185220718,0.0,7158.07333200097
19,buy,181.70560319423674,0.0,6976.367728806734
20,buy,182.39689096212385,0.0,6793.97083784461
22,buy,184.5375152206421,0.0,6609.433322623968
23,buy,194.18369825363158,0.0,6415.249624370336
24,sell,200.38625819206237,18.657462348957747,6615.635882562398
25,buy,203.25818002223969,0.0,6412.377702540159
26,buy,225.04496707320214,0.0,6187.332735466956
27,sell,247.90963350534437,47.29043876586306,6435.242368972301
28,sell,293.4473361206055,69.20701750312729,6728.6897050929065
31,buy,234.0790772485733,0.0,6494.610627844333
34,buy,227.01517509937287,0.0,6267.59545274496
35,buy,224.9634645295143,0.0,6042.631988215446
36,buy,243.16417137503623,0.0,5799.46781684041
38,sell,243.74601461350917,38.006008129816195,6043.213831453919
39,buy,243.0164865875244,0.0,5800.197344866395
40,sell,239.99571690559387,34.17371195941292,6040.193061771989
42,sell,250.30927946090696,40.24777660296912,6290.502341232896
44,sell,242.38494440436364,36.166096309103985,6532.887285637259
48,sell,256.2718316447735,45.86131680425506,6789.159117282033
49,sell,251.1911140680313,40.22291488475339,7040.350231350064
50,sell,257.67901948452,46.496297558902555,7298.029250834584
51,sell,252.5644586133957,40.05554643581586,7550.59370944798
52,sell,262.5489469099045,44.42324173798977,7813.142656357884
53,sell,267.68058522224425,48.27823210432036,8080.8232415801285
54,sell,276.17039339065553,53.48128138342396,8356.993634970784
56,sell,259.6997491836548,43.04750347640848,8616.69338415444
57,sell,257.15201366424566,39.39567478489866,8873.845397818684
58,buy,263.0911429882049,0.0,8610.75425483048
61,sell,253.4931354856491,39.50760517531982,8864.247390316128
62,sell,258.70063111066816,41.833903936657215,9122.948021426797
64,sell,254.7402671957016,38.042536711910124,9377.6882886225
65,sell,249.39377836704253,28.43188208378786,9627.082066989542
66,sell,255.69296981811522,25.79713632688157,9882.775036807658
70,sell,250.64551307201387,11.375746959266337,10133.420549879671
72,sell,262.8244535434246,12.280198910868924,10396.245003423095
74,sell,261.93361346483226,15.381543700844807,10658.178616887928
76,sell,262.1613506186008,16.535078781295297,10920.339967506528
78,sell,268.9940130233765,10.622387953899045,11189.333980529906
79,sell,266.4715610623359,9.651639197064917,11455.80554159224
82,sell,258.9381386590004,-1.5785420527785352,11714.743680251242
