day,operate,price,investment,total_balance
0,buy,28.0010734808445,0.0,9971.998926519156
1,buy,28.030547919273378,0.0,9943.968378599882
2,buy,28.48576479792595,0.0,9915.482613801956
3,buy,27.782235393524168,0.0,9887.700378408432
4,sell,29.692512366771698,6.04062157504179,9917.392890775203
5,buy,29.52157858133316,0.0,9887.87131219387
6,sell,30.10480263233185,7.399979190675208,9917.976114826202
8,sell,29.840397664904597,4.755473046232828,9947.816512491107
9,buy,29.02011603355408,0.0,9918.796396457552
10,sell,29.59848297119141,6.5374421890133245,9948.394879428743
12,sell,29.888948282003405,1.2444107609561827,9978.283827710746
13,buy,29.42340342283249,0.0,9948.860424287914
14,sell,29.74360667467117,2.493065983197884,9978.604030962584
16,buy,29.938559156656265,0.0,9948.665471805927
17,sell,31.988955825567245,8.719427748945908,9980.654427631494
18,buy,29.79483860731125,0.0,9950.859589024183
19,sell,32.06853375673294,7.11448600091737,9982.928122780917
20,buy,30.315971902012826,0.0,9952.612150878904
21,sell,31.10497062921524,4.397177776900272,9983.71712150812
23,sell,30.706820619106292,1.2892501627748085,10014.423942127227
24,buy,29.659847099781036,0.0,9984.764095027445
25,sell,29.806058219671247,0.4929597897060304,10014.570153247116
26,buy,29.183707237243652,0.0,9985.386446009872
27,sell,29.399711101055143,0.7401522433580021,10014.786157110928
28,buy,28.95581641674042,0.0,9985.830340694187
29,sell,28.93081241726875,-0.08635225169203743,10014.761153111456
30,buy,28.286974216699598,0.0,9986.474178894756
31,sell,29.22148328304291,3.303672775971964,10015.695662177799
33,buy,28.759409712553026,0.0,9986.936252465246
35,buy,28.93630743741989,0.0,9957.999945027826
36,sell,29.51380427837372,2.6231225653126384,9987.5137493062
37,buy,29.268266980648043,0.0,9958.245482325552
38,sell,30.24446103334427,4.52080348798305,9988.489943358896
39,buy,29.744041481614115,0.0,9958.745901877282
41,buy,29.636430094838143,0.0,9929.109471782444
42,sell,30.064821853637696,2.7215648726872983,9959.17429363608
43,buy,29.810127626657486,0.0,9929.364166009424
44,sell,29.806596887111663,0.21031239327788026,9959.170762896536
45,buy,29.451754689216614,0.0,9929.71900820732
47,sell,29.779549934864047,0.48291862268131636,9959.498558142184
48,buy,29.808460772037506,0.0,9929.690097370147
49,buy,30.181732881069184,0.0,9899.508364489078
50,sell,29.944134249687195,0.44953387891528035,9929.452498738765
51,buy,29.727130892872808,0.0,9899.725367845893
52,sell,30.387997436523435,3.178903115234809,9930.113365282416
53,buy,29.608234806060793,0.0,9900.505130476355
54,buy,28.866152591705323,0.0,9871.63897788465
56,buy,27.99642777442932,0.0,9843.64255011022
57,sell,27.777661201953887,-6.812829369534761,9871.420211312174
58,buy,26.918671000003812,0.0,9844.50154031217
59,sell,27.31169942617416,-9.509173864218997,9871.813239738345
60,buy,26.6798048043251,0.0,9845.13343493402
61,buy,26.85546806931496,0.0,9818.277966864705
62,buy,27.362180757522584,0.0,9790.915786107184
63,buy,26.36606595814228,0.0,9764.549720149042
64,sell,27.271893701553346,-8.259247083640064,9791.821613850594
65,buy,27.051469445228577,0.0,9764.770144405365
66,buy,27.08396263718605,0.0,9737.68618176818
67,buy,27.19472359418869,0.0,9710.491458173992
68,buy,27.23218842744827,0.0,9683.259269746544
69,buy,27.46446051001549,0.0,9655.79480923653
70,buy,27.802460803985596,0.0,9627.992348432545
71,buy,27.596585084199905,0.0,9600.395763348344
72,buy,28.973111467361452,0.0,9571.422651880983
73,buy,28.430146493911742,0.0,9542.99250538707
74,sell,29.53181266784668,-0.2581110921157294,9572.524318054917
75,buy,29.59329002737999,0.0,9542.931028027537
76,buy,30.09038820266724,0.0,9512.84063982487
77,buy,29.686580136418343,0.0,9483.154059688452
78,sell,29.67502613067627,2.802152231410901,9512.829085819129
79,sell,30.901927112340925,10.378107383276076,9543.73101293147
80,buy,29.511415907144546,0.0,9514.219597024325
81,sell,31.01717140197754,15.225493123242028,9545.236768426303
83,sell,30.95653736591339,16.0298495170961,9576.193305792216
84,sell,31.86342737674713,18.647819857417645,9608.056733168964
86,sell,30.744780203104018,12.36231671575179,9638.801513372067
88,sell,29.713760018348694,12.69697976755835,9668.515273390416
89,sell,29.27667964220047,8.225838531534498,9697.791953032616
91,sell,29.37937434196472,8.475169366934098,9727.17132737458
92,sell,29.771387100219727,9.474865582313361,9756.9427144748
94,buy,30.10772055387497,0.0,9726.834993920926
95,sell,32.70909607410431,20.11188950622739,9759.54408999503
97,sell,32.75312535524368,19.25639443490824,9792.297215350274
99,sell,32.42287080526352,16.618708803702624,9824.720086155538
100,sell,32.14778406858444,16.49189191524379,9856.867870224121
102,sell,32.255678325891495,11.329700858079715,9889.123548550013
103,sell,30.75983460724354,8.19442880405381,9919.883383157256
105,sell,30.820461097955704,4.1467882396324445,9950.703844255211
106,sell,30.027528095841408,-0.20890427335948616,9980.731372351052
108,sell,30.18865237951279,1.6912431165438395,10010.920024730565
109,sell,29.77321935892105,0.8871260281114589,10040.693244089487
111,sell,29.574980352520942,-1.7694471436345973,10070.268224442008
115,buy,28.895379672050474,0.0,10041.372844769958
116,buy,26.80292776107788,0.0,10014.56991700888
117,sell,27.636635202169415,-4.356213637499284,10042.206552211048
118,buy,26.78419630587101,0.0,10015.422355905177
119,buy,27.91577555060387,0.0,9987.506580354573
120,buy,27.266434681415557,0.0,9960.240145673157
121,buy,27.352299070358278,0.0,9932.887846602798
122,buy,27.28647299051285,0.0,9905.601373612286
123,buy,27.368499155044557,0.0,9878.23287445724
124,buy,27.60300557374954,0.0,9850.62986888349
125,buy,26.893145057559014,0.0,9823.736723825932
126,buy,27.72715625524521,0.0,9796.009567570687
127,buy,27.195960747599603,0.0,9768.813606823087
128,sell,27.174624084234235,1.386775080952608,9795.988230907322
129,buy,27.055238139629363,0.0,9768.932992767692
130,buy,27.110558023452757,0.0,9741.82243474424
131,buy,26.98252610206604,0.0,9714.839908642172
133,buy,27.154297786951066,0.0,9687.685610855222
134,sell,27.826710786819458,3.89227464226706,9715.512321642042
135,buy,27.463580750226974,0.0,9688.048740891814
136,sell,28.10654048681259,0.68335889813599,9716.155281378627
137,buy,27.428242620825767,0.0,9688.727038757801
138,sell,28.038579597473145,2.831851413943282,9716.765618355274
139,buy,27.50151594400406,0.0,9689.264102411269
