day,operate,price,investment,total_balance
1,buy,110.25574980687314,0.0,9889.744250193127
2,buy,110.68598601137639,0.0,9779.058264181751
4,buy,111.51876554826458,0.0,9667.539498633487
5,buy,111.97235259413719,0.0,9555.56714603935
6,buy,110.39972003539243,0.0,9445.167426003956
7,buy,108.80466860425895,0.0,9336.362757399696
8,buy,109.88447017052067,0.0,9226.478287229176
9,buy,109.86933559260795,0.0,9116.608951636568
13,buy,106.89852737619277,0.0,9009.710424260375
14,buy,105.54290483050134,0.0,8904.167519429873
15,buy,106.65345425687337,0.0,8797.514065173
16,buy,107.62941763672279,0.0,8689.884647536277
18,buy,103.57888065948191,0.0,8586.305766876794
19,buy,103.19668341053328,0.0,8483.109083466261
21,buy,105.85585631421327,0.0,8377.253227152047
22,buy,106.89944836468021,0.0,8270.353778787367
24,sell,108.73782577348265,-1.3767300445095347,8379.09160456085
25,sell,109.70303284356122,-0.8880556638074666,8488.794637404411
26,buy,108.88741102882703,0.0,8379.907226375584
27,buy,107.9661377533439,0.0,8271.94108862224
30,sell,109.50371265170816,-1.8069182228208265,8381.444801273949
31,buy,109.50169603540417,0.0,8271.943105238544
32,buy,110.76235551978607,0.0,8161.180749718758
33,buy,109.78694240746518,0.0,8051.393807311293
34,buy,109.70697312548691,0.0,7941.686834185806
35,buy,106.48199676027069,0.0,7835.2048374255355
38,buy,107.12395087568892,0.0,7728.080886549847
39,buy,111.14304196775447,0.0,7616.937844582092
40,sell,111.34697005635735,-0.5585151363628549,7728.2848146384495
41,sell,108.25000062976324,-1.9472145445115552,7836.534815268213
42,buy,107.51826534387146,0.0,7729.016549924341
43,buy,107.75892777718398,0.0,7621.257622147157
47,buy,107.60040620153814,0.0,7513.657215945619
48,buy,104.30784831934488,0.0,7409.349367626274
49,buy,105.98699539106292,0.0,7303.362372235211
51,buy,104.3956891774501,0.0,7198.966683057761
52,buy,104.40553394048493,0.0,7094.561149117276
55,buy,105.82740625156657,0.0,6988.733742865709
56,buy,105.3186102320724,0.0,6883.415132633637
58,sell,106.94227920930643,-1.7116815104013063,6990.357411842943
59,sell,109.44646059417666,-0.39860917167303467,7099.80387243712
61,sell,112.27740687142068,2.1917592072657834,7212.081279308541
63,buy,113.0107117316984,0.0,7099.070567576842
64,sell,112.87711349228992,5.5927675177952265,7211.947681069132
65,sell,113.99436578154564,8.007606920253979,7325.942046850678
66,sell,115.67694531594314,8.460570847838472,7441.618992166621
67,sell,115.554855464281,7.363635334633717,7557.173847630902
68,sell,115.20922593367597,11.228490982084562,7672.383073564578
69,sell,115.00207008397773,11.439695815107436,7787.385143648556
70,sell,114.34554690676758,8.02004809951587,7901.730690555323
71,sell,114.27521804044774,6.899726601586933,8016.005908595771
72,sell,115.55411651453598,6.122567726349918,8131.560025110307
73,sell,115.58583610504137,7.057489051896246,8247.145861215347
74,sell,116.46388932893387,6.358068911808166,8363.609750544281
75,sell,113.42302299974472,2.4021405715621116,8477.032773544026
76,sell,115.69858613773249,5.38465103466197,8592.731359681758
77,sell,115.86371051966125,5.611983649509715,8708.59507020142
78,sell,116.52619895825774,9.43277033074442,8825.121269159677
79,sell,117.94361380906957,10.100134325643237,8943.064882968747
80,sell,118.28450452632751,6.4254697659300755,9061.349387495075
81,sell,117.44912521428252,9.236439816667033,9178.798512709358
82,sell,117.72299780856792,9.246630638332737,9296.521510517927
83,sell,118.45693585217303,10.089673481622699,9414.9784463701
84,sell,117.41192792291713,12.562889384366649,9532.390374293016
85,sell,117.84058496279113,11.18400378083341,9650.230959255807
86,sell,117.39810857080464,12.454938988192552,9767.62906782661
87,sell,117.31828002598377,12.367875148131121,9884.947347852594
88,sell,116.25830923591685,9.85652332776121,10001.20565708851
89,buy,115.94060660619196,0.0,9885.26505048232
90,buy,114.7859676461285,0.0,9770.479082836191
92,sell,115.31781486770113,9.494242863246308,9885.796897703893
94,sell,113.25643979589586,0.21743785206915084,9999.053337499789
95,buy,113.53664140786395,0.0,9885.516696091925
96,buy,112.25557092307461,0.0,9773.26112516885
98,sell,109.82230279662873,-5.277101775346821,9883.08342796548
101,sell,112.75784356361328,-1.7668745789273521,9995.841271529092
103,buy,110.32550390140933,0.0,9885.515767627683
104,buy,108.81104661100835,0.0,9776.704721016675
105,buy,110.48602004958957,0.0,9666.218700967085
108,buy,110.25813477710652,0.0,9555.960566189979
109,buy,109.01145210496907,0.0,9446.94911408501
110,buy,109.79787149984259,0.0,9337.151242585167
111,buy,109.67801368613436,0.0,9227.473228899033
114,sell,113.90154960827203,0.32140126384151274,9341.374778507305
115,sell,115.02024998105298,2.4628435232607937,9456.395028488358
116,sell,113.49361439897801,2.8716030161075077,9569.888642887336
117,sell,113.6642443599967,4.460206844933844,9683.552887247333
118,buy,112.85097919879625,0.0,9570.701908048537
119,sell,114.29099165806747,3.443848920225481,9684.992899706605
120,sell,115.85257135623397,5.073944512517773,9800.84547106284
121,sell,114.63085275416596,5.154871842075702,9915.476323817005
122,sell,113.7597162945931,3.6083074659204106,10029.236040111598
123,buy,111.84976574778557,0.0,9917.386274363813
124,buy,109.0339788198471,0.0,9808.352295543966
126,sell,108.61633330222413,-0.9679974574926569,9916.96862884619
127,buy,107.49858350428622,0.0,9809.470045341905
128,buy,106.38299112301866,0.0,9703.087054218886
129,buy,107.49533886379504,0.0,9595.59171535509
130,sell,105.79117974575001,-6.2558601645891105,9701.38289510084
132,buy,106.30912473359423,0.0,9595.073770367246
133,sell,108.73143973598235,-2.787959358658699,9703.805210103228
135,sell,109.1080213072837,0.06790771852776062,9812.913231410512
136,sell,107.87763852678472,0.3526139695444374,9920.790869937297
138,buy,105.63240387833775,0.0,9815.158466058958
139,buy,107.12954020403777,0.0,9708.02892585492
141,buy,105.71767981975427,0.0,9602.311246035166
142,buy,106.1167306898915,0.0,9496.194515345274
143,buy,106.11032901421731,0.0,9390.084186331056
144,buy,105.37709891796112,0.0,9284.707087413095
145,buy,106.25488679078262,0.0,9178.452200622312
147,buy,106.43172033548126,0.0,9072.020480286832
149,sell,107.89836964695131,1.4244556464673077,9179.918849933783
150,sell,109.51632667553713,1.8800701808129907,9289.43517660932
151,sell,109.13642536815314,2.659508900711952,9398.571601977474
152,buy,109.1521116840031,0.0,9289.41949029347
153,sell,109.48499593738599,3.647168783061552,9398.904486230856
155,sell,110.11626099798195,2.7879525929596176,9509.020747228838
156,buy,107.52931291205914,0.0,9401.49143431678
158,sell,109.63061288687642,3.7013043360330995,9511.122047203657
159,sell,110.51986012797443,4.149326321548995,9621.641907331632
160,buy,109.28381535033168,0.0,9512.3580919813
161,sell,110.20508431493725,3.858960139659258,9622.563176296237
164,sell,110.09593064408546,4.478042928281857,9732.659106940322
165,sell,107.8296379391286,1.4820505634217926,9840.48874487945
166,sell,106.81030793501121,0.35570936778679546,9947.299052814462
167,buy,108.16837396184563,0.0,9839.130678852616
168,sell,109.4198336049103,0.24527415619979104,9948.550512457527
169,sell,108.68861472482149,1.0781263093445639,10057.239127182347
170,sell,109.27153802335579,-0.011234350609496395,10166.510665205704
171,sell,108.01253148931575,-0.14407397173674255,10274.52319669502
176,buy,107.52777450066061,0.0,10166.995422194359
177,sell,107.0571170313724,-0.43770781221304017,10274.052539225731
180,buy,105.50153784925715,0.0,10168.551001376474
181,buy,104.10583841713377,0.0,10064.44516295934
184,buy,102.93620027856922,0.0,9961.508962680771
185,buy,102.32168398229442,0.0,9859.187278698477
186,buy,102.64249407159879,0.0,9756.544784626878
188,sell,104.2686769335023,-1.1685715117407856,9860.81346156038
189,sell,104.87825560569763,0.7419537658098716,9965.691717166077
192,sell,104.03513677096271,1.0675899143542453,10069.72685393704
194,buy,104.43356401509845,0.0,9965.293289921941
195,buy,104.47753071840454,0.0,9860.815759203537
196,buy,102.57907264071672,0.0,9758.236686562821
197,buy,101.02801114502472,0.0,9657.208675417796
198,buy,103.16861165230331,0.0,9554.040063765493
199,buy,103.79909731678708,0.0,9450.240966448706
200,buy,103.62493301759605,0.0,9346.61603343111
201,buy,103.96748684584689,0.0,9242.648546585264
202,sell,105.93062491325325,3.527053885844298,9348.579171498517
203,sell,103.23354196187302,0.5758315750413636,9451.81271346039
204,buy,103.53253261342707,0.0,9348.280180846963
207,sell,103.34437342148703,-1.0429507063973709,9451.62455426845
208,sell,103.94109009444126,-0.5134507106691933,9555.56564436289
209,sell,105.0067263631463,2.366616952107221,9660.572370726037
210,sell,104.2611837387085,3.200273426191265,9764.833554464745
211,buy,104.57789678833615,0.0,9660.25565767641
212,buy,102.68502798931057,0.0,9557.5706296871
214,sell,102.5914342739743,-0.559450562613174,9660.162063961074
216,buy,101.75906613449297,0.0,9558.40299782658
217,buy,102.46403217634087,0.0,9455.93896565024
218,sell,102.16754746437073,-1.5718343363208522,9558.106513114612
220,sell,102.54726276095607,-1.03997196934929,9660.653775875568
221,buy,101.92481219365163,0.0,9558.728963681915
224,buy,100.89802436093669,0.0,9457.830939320978
225,buy,102.24110486469998,0.0,9355.58983445628
226,sell,103.36090345407229,-0.5834356587593489,9458.950737910352
227,sell,104.2615092945698,0.7041039784708206,9563.212247204923
228,sell,105.72252391229269,1.0945210786493866,9668.934771117216
229,sell,106.58709164078937,3.800031735770671,9775.521862758005
230,sell,105.97679564408735,4.144819395276178,9881.498658402092
231,sell,104.18763956687052,1.6821584647023435,9985.686297968961
233,sell,104.94762918323433,2.965732214290967,10090.633927152196
235,sell,107.5817714098157,6.624259584082271,10198.215698562011
236,sell,106.3650939386416,4.033592046368318,10304.580792500652
237,buy,105.53054797059121,0.0,10199.05024453006
238,sell,106.33325838819019,0.760642707761424,10305.383502918252
