Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA50,RSI,MACD,Signal_Line,MACD_Histogram,Upper_band,SMA,Lower_band,Std_dev,ATR,VWAP,Relative_Performance,ROC,Year,Month,Day,Close_yes,Open_yes,High_yes,Low_yes,Volume_MA5,Volume_MA20,Volume_Ratio,Price_Range,Price_Range_Pct,Gap,Gap_Pct,Volatility,Volatility_Pct,Momentum,Momentum_Pct,Trend_5,Trend_10,Trend_20,Support,Resistance,Support_Distance,Resistance_Distance,VPT,Money_Flow,Money_Flow_MA,Fear_Greed
2024-03-19,1620.64,1637.58,1610.75,1625.66,23948,1633.21,1622.935,1618.6684999999998,1585.141,53.736717217492505,12.772866148030744,12.340432510312414,0.4324336377183293,1656.4129572222755,1618.6684999999998,1580.924042777724,18.872228611137857,27.585615993979797,1621.1656923954654,-0.0001476105541545758,0.8011210734526486,2024,3,19,1625.9,1632.64,1637.49,1616.64,22748.4,27781.45,0.8620140417436815,26.829999999999927,0.01650406604086951,-5.259999999999991,-0.0032351313118887943,19.362498010601602,0.011910545877121662,12.920000000000073,0.008011210734526378,0,1,1,1579.64,1666.74,0.028308502392874267,0.02526973659928886,3880.0077008246935,38931305.68,45038333.625,0.07473434434985009
2024-03-20,1621.0,1631.32,1617.87,1627.24,15249,1629.6399999999999,1625.84,1618.2655,1585.6328000000003,54.12783757471007,12.167365196865148,12.305819047622961,-0.1384538507578128,1655.459144336106,1618.2655,1581.071855663894,18.596822168053002,26.575929137266957,1620.0989835799392,0.0009719129461265297,1.8176812519162366,2024,3,20,1625.66,1620.64,1637.58,1610.75,20498.2,26236.2,0.5812198412879914,13.450000000000045,0.008265529362601734,-4.660000000000082,-0.002866528056297185,19.07993696199514,0.011725336743194084,29.049999999999955,0.018176812519162273,0,1,1,1584.32,1666.74,0.02637594946043612,0.024274231213588654,3894.828401340177,24813782.76,42505240.952999994,0.08255675149420143
2024-03-21,1625.74,1636.64,1622.14,1626.64,16596,1628.114,1628.377,1617.7965,1585.9328000000003,53.94133941641963,11.506447184449371,12.145944674988243,-0.6394974905388722,1654.313199344298,1617.7965,1581.2798006557018,18.258349672149063,25.713362770319318,1619.6084605593549,-0.00036872249944686075,1.5843674083696246,2024,3,21,1627.24,1621.0,1631.32,1617.87,19936.4,25926.3,0.6401221925226508,14.5,0.008914080558697683,-1.5,-0.0009218062486172907,18.732671508413553,0.011516175372801328,25.37000000000012,0.01584367408369614,0,0,1,1584.32,1666.74,0.026016819947868097,0.0246520434761225,3888.709082739357,26995717.44,41990454.831,0.07882678832839261
2024-03-22,1622.67,1626.63,1605.64,1618.99,25456,1624.886,1631.369,1617.1595,1586.5798000000004,51.50467677735078,10.247249913360747,11.766205722662743,-1.5189558093019961,1653.1220174174352,1617.1595,1581.1969825825647,17.98125870871766,25.376694001010797,1618.9373740603394,-0.004702945949933701,1.8828623031081015,2024,3,22,1626.64,1625.74,1636.64,1622.14,21460.8,25833.8,0.985375748051003,20.99000000000001,0.012964873161662524,-3.9700000000000273,-0.0024406137805537964,18.4483821783923,0.011394994520282585,29.920000000000073,0.01882862303108112,0,0,1,1584.32,1666.74,0.021414585636724177,0.029493696687440934,3768.990890637845,41213009.44,41823304.334,0.030093535547015618
2024-03-25,1616.18,1616.41,1598.22,1606.65,24473,1621.036,1630.8209999999997,1616.861,1587.0928000000004,47.75710404985212,8.159534103666147,11.044871398863425,-2.885337295197278,1653.0675568095069,1616.861,1580.6544431904933,18.103278404753393,25.047644429510026,1618.6880102017979,-0.007622035960691442,-0.3399229590665742,2024,3,25,1618.99,1622.67,1626.63,1605.64,21144.4,25691.55,0.9525700084268952,18.190000000000055,0.011321694208446179,-2.8099999999999454,-0.001735650004014815,18.573571745047936,0.011560434285655204,-5.480000000000018,-0.0033992295906657764,0,0,0,1584.32,1666.74,0.013898484424112378,0.03740080291289324,3582.4568045718433,39319545.45,41586603.9485,-0.04485791900295766
2024-03-26,1605.1,1630.44,1605.1,1626.93,28069,1621.2900000000002,1627.2499999999998,1617.8505,1588.3988,53.71728816422533,8.048650958136932,10.445627310718127,-2.396976352581195,1654.0219763176792,1617.8505,1581.6790236823208,18.08573815883964,25.06852697025932,1619.6235734292638,0.01262253757819054,-2.1477890583650128,2024,3,26,1606.65,1616.18,1616.41,1598.22,21968.6,25991.0,1.0799507521834482,25.340000000000146,0.015575347433509829,-1.550000000000182,-0.0009647402981359859,18.555575832447452,0.011405269945509304,-35.710000000000036,-0.02147789058365012,1,0,1,1584.32,1666.74,0.026190432286576637,0.02446939942099534,3936.7588118540734,45666298.17,42095636.297,0.07434576328450661
2024-03-27,1622.64,1629.64,1616.64,1618.64,18113,1619.5700000000002,1624.6049999999998,1618.823,1589.5988,51.1484532181366,7.2087436394672295,9.798250576467947,-2.589506937000717,1653.9666265061228,1618.823,1583.6793734938774,17.571813253061315,24.206489329526512,1620.8750726782675,-0.005095486591309983,-1.6078147700125722,2024,3,27,1626.93,1605.1,1630.44,1605.1,22541.4,25303.3,0.7158354839092135,13.0,0.008031433796273415,-4.289999999999964,-0.0026368682119082957,18.02830000451117,0.011137930611199012,-26.449999999999818,-0.01607814770012572,0,0,0,1584.32,1666.74,0.021202985222161914,0.029716305046211578,3844.4642632256755,29318426.32,41013488.226500005,0.02296906436273204
2024-03-28,1612.64,1635.64,1610.84,1619.28,24642,1618.0980000000002,1623.1059999999998,1619.1550000000002,1590.8016,51.341911484555915,6.519599801313234,9.142520421437004,-2.62292062012377,1654.1839802877544,1619.1550000000002,1584.126019712246,17.514490143877115,24.248882948846063,1621.2003580788617,0.0003953936638163569,-0.917229099230854,2024,3,28,1618.64,1622.64,1629.64,1616.64,24150.6,25297.5,0.9740883486510524,24.800000000000182,0.015315448841460515,-6.0,-0.0037068155982800375,17.969487735428377,0.011097208472548525,-14.990000000000009,-0.009172290992308499,1,0,1,1584.32,1666.74,0.021589842399090977,0.02930932266192384,3854.2075538894383,39902297.76,41012316.05850001,0.0268382296911183
2024-03-29,1619.28,1628.63,1615.74,1620.54,13457,1618.4080000000001,1621.6469999999997,1620.047,1591.9281999999998,51.74705422232401,6.005887679667694,8.515193873083142,-2.5093061934154477,1654.2533889354418,1620.047,1585.8406110645583,17.103194467720876,23.43753416678564,1622.1915104184643,0.000778123610493564,-0.8922837939491113,2024,3,29,1619.28,1612.64,1635.64,1610.84,21750.8,24626.95,0.5464338864536615,12.8900000000001,0.00795413874387556,0.0,0.0,17.547507275364666,0.010828185219349517,-14.590000000000146,-0.008922837939491139,1,0,1,1584.32,1666.74,0.02235057449985809,0.028509015513347433,3864.67876331585,21807606.78,39949629.2175,0.034941084446480204
2024-04-01,1627.63,1651.64,1626.34,1638.97,27131,1624.8720000000003,1622.9539999999997,1622.2985000000003,1593.4935999999998,57.3419669239284,7.005162938439298,8.213187686154374,-1.2080247477150756,1655.2393702222066,1622.2985000000003,1589.357629777794,16.47043511110316,23.98485315487239,1624.6316869328955,0.011372752292445831,0.8038624761670388,2024,4,1,1620.54,1619.28,1628.63,1615.74,22282.4,24659.25,1.1002362196741589,25.300000000000182,0.015436524158465489,7.0900000000001455,0.0043750848482605464,16.898309873445335,0.010310322869512764,13.069999999999936,0.00803862476167042,1,1,1,1584.32,1666.74,0.033344112460874875,0.016943568216623843,4173.232905762198,44466895.07,40062198.92600001,0.14683933847856806
2024-04-02,1639.64,1642.63,1622.69,1631.63,25449,1625.8120000000004,1623.551,1623.2430000000002,1594.9733999999999,54.62540528765305,7.122712922508754,7.99509273342525,-0.8723798109164962,1656.1166217049454,1623.2430000000002,1590.369378295055,16.4368108524726,23.69593507238151,1625.8941995165799,-0.004478422423839334,0.3672354612895612,2024,4,2,1638.97,1627.63,1651.64,1626.34,21758.4,24119.8,1.0551082513121999,19.940000000000055,0.012220907926429431,0.6700000000000728,0.00040879332751671645,16.863812111957458,0.010335561439761132,5.970000000000027,0.003672354612895702,1,1,1,1587.69,1666.74,0.026930125089634323,0.021518358941671763,4059.261533497911,41523351.870000005,39216242.9135,0.09250810575306105
2024-04-03,1651.64,1657.08,1627.66,1632.75,29046,1628.6340000000002,1624.1019999999999,1624.9710000000002,1596.4869999999999,54.97591376885698,7.22298470008468,7.840671126757136,-0.6176864266724555,1655.9754692907136,1624.9710000000002,1593.9665307092869,15.502234645356696,24.104796852925677,1627.554857531167,0.0006864301342828227,0.33861016199208116,2024,4,3,1631.63,1639.64,1642.63,1622.69,23945.0,24465.0,1.1872470876762722,29.419999999999845,0.018018680140866543,20.00999999999999,0.012263809809822073,15.904957155091658,0.009741207873276165,5.509999999999991,0.003386101619920842,1,1,1,1587.69,1666.74,0.027597611391823578,0.02081763895268719,4079.1995831782897,47424856.5,39818129.5895,0.09951827537713953
2024-04-08,1612.64,1613.64,1580.24,1584.3,59167,1621.6380000000004,1619.868,1624.1225000000002,1598.2802,40.42731633545935,3.35427472866877,6.943391847139463,-3.5891171184706927,1658.4281245388408,1624.1225000000002,1589.8168754611595,17.15281226942036,26.13373993485956,1623.7749097686708,-0.029673863114377586,-2.602911523139728,2024,4,8,1632.75,1651.64,1657.08,1627.66,30850.0,26343.4,2.245989507808407,33.40000000000009,0.021081865808243446,-20.1099999999999,-0.012316643699280294,17.59841406580762,0.011108006100995785,-42.340000000000146,-0.026029115231397323,0,0,0,1580.24,1666.74,0.0025626459635169764,0.05203559931831096,2323.486124289911,93738278.1,42775751.958000004,-0.19145367329081295
2024-04-09,1578.31,1590.64,1576.09,1579.86,25590,1613.5020000000002,1615.955,1623.6620000000003,1599.3072,39.39835136198509,-0.06917923444825647,5.540877630821919,-5.610056865270176,1660.0230487197377,1623.6620000000003,1587.3009512802628,18.18052435986878,25.306329939512462,1623.105742840872,-0.002802499526604829,-2.4169389557687215,2024,4,9,1584.3,1612.64,1613.64,1580.24,33276.6,26515.1,0.9651104465002961,14.550000000000182,0.009209676806805782,-5.990000000000009,-0.0037808495865682065,18.652824422789273,0.01180663123491276,-39.13000000000011,-0.024169389557687267,0,0,0,1576.09,1666.74,0.0023862873925537594,0.05499221450001906,2251.7701614040934,40428617.4,43036811.082,-0.21203297276029814
2024-04-10,1579.91,1582.63,1562.64,1565.62,27631,1598.832,1611.852,1621.3365000000001,1599.5667999999998,36.214721761125354,-3.8865385590049755,3.6553943928565404,-7.541932951861516,1665.4689303772204,1621.3365000000001,1577.2040696227798,22.066215188610123,24.926592086690142,1620.719042019703,-0.009013456888585125,-2.5537609311300002,2024,4,10,1579.86,1578.31,1590.64,1576.09,33376.6,26401.9,1.0465534677428519,19.99000000000001,0.012768104648637608,0.0500000000001819,3.164837390666382e-05,22.639459095966185,0.014460379335960314,-41.0300000000002,-0.025537609311300034,0,0,0,1562.64,1666.74,0.0019033992922930156,0.0645878310190213,2002.7193341155978,43259646.22,42790062.0755,-0.2757055647774929
2024-04-11,1557.75,1567.64,1552.33,1565.64,22766,1585.6340000000002,1605.723,1616.4865000000002,1599.6868,36.22251676888819,-6.831460667315696,1.5580233808220934,-8.389484048137788,1662.6688084199943,1616.4865000000002,1570.304191580006,23.09115420999709,24.23969265192657,1613.6160604901154,1.2774491894740336e-05,-3.767218011838247,2024,4,11,1565.62,1579.91,1582.63,1562.64,32840.0,24828.85,0.9169172152556402,15.310000000000173,0.009778748626759773,-7.869999999999891,-0.005026762560519086,23.691024344120375,0.015131846621266942,-61.289999999999964,-0.03767218011838245,0,0,0,1552.33,1665.64,0.00850131575585714,0.0638716435451317,2003.0101581980734,35643360.24,40064231.123500004,-0.2755496646222362
2024-04-12,1568.64,1581.64,1551.67,1551.67,26744,1569.4180000000001,1599.026,1611.8155000000002,1599.9874,33.172994119714744,-10.175300374199423,-0.7886413701822099,-9.386659004017213,1663.9895964368466,1611.8155000000002,1559.6414035631537,26.087048218423245,24.649000319646102,1608.6026958401517,-0.008922868603254863,-4.137424010280233,2024,4,12,1565.64,1557.75,1567.64,1552.33,32379.6,24841.05,1.076605054939304,29.970000000000027,0.019314673867510505,3.0,0.001916149306353951,26.764746741897362,0.0172489941430184,-66.97000000000003,-0.041374240102802363,0,0,0,1551.67,1657.08,0.0,0.06793325900481408,1764.3769602726254,41497862.480000004,39959379.9975,-0.3365401176057051
2024-04-15,1552.65,1593.25,1552.62,1590.62,35818,1570.6820000000002,1596.1599999999999,1609.6330000000003,1600.927,46.65718547504807,-9.572037462222852,-2.5453205885903385,-7.026716873632513,1661.5183740855887,1609.6330000000003,1557.7476259144119,25.942687042794184,25.858357439671376,1606.3772426612422,0.025101986891542527,-1.7699224346623188,2024,4,15,1551.67,1568.64,1581.64,1551.67,27709.8,25661.7,1.395776585339241,40.63000000000011,0.0255434987614893,0.9800000000000182,0.0006315775905959502,26.616635300819826,0.01673349719029047,-28.660000000000082,-0.01769922434662324,1,0,0,1551.67,1657.08,0.02448730683632786,0.0417824496108436,2663.4799267538956,56972827.16,41222370.888,-0.06685629049903867
