Date,Open,High,Low,Close,Volume
2024-01-02,150.43,150.74,144.83,145.04,214033
2024-01-03,144.31,145.49,142.61,144.01,197576
2024-01-04,143.71,143.93,137.98,139.41,272418
2024-01-05,139.2,142.94,137.7,139.11,210353
2024-01-08,138.41,141.6,137.29,138.21,193854
2024-01-09,138.17,139.58,133.96,136.91,233916
2024-01-10,135.15,141.32,134.76,138.87,232120
2024-01-11,138.87,145.98,136.72,143.03,328018
2024-01-12,142.21,145.54,140.41,142.84,254622
2024-01-15,141.71,141.91,137.56,139.91,172722
2024-01-16,139.87,145.46,138.77,145.16,284693
2024-01-17,145.07,145.07,139.96,140.45,217615
2024-01-18,138.31,143.41,138.22,142.82,307788
2024-01-19,142.01,146.1,141.61,143.11,265949
2024-01-22,141.71,148.16,138.86,143.87,404888
2024-01-23,143.21,147.01,141.4,142.12,323059
2024-01-24,142.71,143.2,137.72,141.69,248710
2024-01-25,140.21,143.31,137.92,143.21,294796
2024-01-26,140.71,142.69,138.21,138.21,271813
2024-01-29,137.65,138.99,135.23,135.23,217675
2024-01-30,133.71,135.65,128.61,128.96,327274
2024-01-31,133.21,141.17,132.21,139.8,595221
2024-02-01,139.79,140.73,136.79,137.23,279688
2024-02-02,136.21,137.21,131.58,134.21,307060
2024-02-05,130.82,142.71,130.51,140.15,471326
2024-02-06,139.4,147.47,139.03,146.54,437459
2024-02-07,146.21,148.0,144.21,147.81,366070
2024-02-08,147.71,153.21,147.09,151.05,309012
2024-02-19,153.17,153.17,147.3,148.3,270925
2024-02-20,150.09,150.09,144.28,146.54,221948
2024-02-21,145.59,151.51,144.55,149.41,257827
2024-02-22,149.54,149.54,147.09,148.56,209559
2024-02-23,150.18,150.21,147.27,148.71,210176
2024-02-26,147.44,148.2,142.91,144.21,360664
2024-02-27,143.29,146.06,142.75,146.04,290401
2024-02-28,146.39,151.51,145.22,145.22,400917
2024-02-29,144.31,151.98,143.87,151.72,391675
2024-03-01,151.74,153.77,150.61,152.76,281013
2024-03-04,153.21,156.07,150.98,152.11,268086
2024-03-05,150.31,153.41,148.21,152.86,275496
2024-03-06,150.79,155.11,149.91,151.85,187180
2024-03-07,151.21,152.38,147.69,148.36,221450
2024-03-08,147.34,149.01,144.86,146.21,202170
2024-03-11,153.21,169.86,152.31,169.06,763350
2024-03-12,171.55,174.64,168.21,174.05,621649
2024-03-13,175.21,175.9,171.51,173.39,347958
2024-03-14,173.1,176.17,171.17,172.02,305356
2024-03-15,171.84,172.11,165.06,169.21,354836
2024-03-18,178.25,181.97,177.16,179.17,483052
2024-03-19,178.7,180.51,174.81,175.46,269576
2024-03-20,173.72,179.45,173.72,177.69,210316
2024-03-21,177.72,180.09,177.29,177.29,187567
2024-03-22,177.3,178.12,173.2,174.72,191034
2024-03-25,173.78,176.41,172.69,173.01,164134
2024-03-26,173.91,181.34,173.9,180.01,302473
2024-03-27,179.95,179.96,176.21,176.21,206457
2024-03-28,176.28,179.91,174.81,176.99,200367
2024-03-29,178.51,183.21,177.59,178.37,164648
2024-04-01,182.21,188.04,181.61,186.05,275132
2024-04-02,186.31,189.78,184.71,187.91,240381
2024-04-03,187.15,187.16,182.81,185.86,234890
2024-04-08,185.86,188.11,182.81,182.81,189576
2024-04-09,182.21,184.71,181.92,184.21,145700
2024-04-10,182.32,183.21,179.74,180.95,179615
2024-04-11,179.02,182.51,175.21,180.81,192954
2024-04-12,179.21,180.19,176.22,176.6,166256
2024-04-15,182.06,185.35,180.07,185.35,305483
2024-04-16,187.21,187.51,183.13,185.36,276231
2024-04-17,183.56,185.14,181.23,184.2,216192
2024-04-18,182.18,185.66,179.6,183.77,195396
2024-04-19,181.27,182.67,177.72,179.01,184915
2024-04-22,181.01,183.1,178.78,178.81,150987
2024-04-23,179.34,180.71,176.09,178.14,111138
2024-04-24,180.21,180.61,174.61,177.81,151543
2024-04-25,176.78,182.56,176.1,181.41,164183
2024-04-26,180.22,187.09,180.22,186.69,224881
2024-04-29,188.78,201.71,188.21,197.84,438630
2024-04-30,199.0,199.0,195.24,195.84,214330
2024-05-06,204.24,204.94,199.27,200.22,270999
2024-05-07,199.42,201.12,198.39,200.12,131799
2024-05-08,200.24,201.04,196.35,196.47,124330
2024-05-09,199.51,203.75,199.44,202.64,219216
2024-05-10,202.64,202.64,196.24,196.74,228011
2024-05-13,189.54,195.01,188.75,192.59,221967
2024-05-14,193.84,194.44,191.36,192.25,106947
2024-05-15,192.25,196.57,190.74,191.13,130741
2024-05-16,192.04,194.88,190.22,192.91,153782
2024-05-17,192.94,196.24,191.82,196.24,184962
2024-05-20,200.44,201.12,196.25,196.69,199172
2024-05-21,196.91,197.82,193.8,194.8,122964
2024-05-22,195.74,200.24,194.84,198.13,252366
2024-05-23,197.44,198.89,196.37,197.58,176548
2024-05-24,196.04,198.1,194.03,194.22,155107
2024-05-27,195.04,195.04,191.74,193.25,163618
2024-05-28,192.7,193.82,190.84,191.04,126900
2024-05-29,191.25,195.74,191.04,192.03,133388
2024-05-30,192.29,194.12,190.9,192.59,127840
2024-05-31,192.59,195.49,191.0,191.0,138086
2024-06-03,191.0,196.84,189.04,195.74,187181
2024-06-04,195.23,200.48,194.24,199.21,177149
2024-06-05,198.94,201.09,197.25,197.36,117774
2024-06-06,197.22,200.12,195.44,198.03,124126
2024-06-07,192.1,195.69,180.83,186.44,516868
2024-06-11,182.24,185.24,177.85,182.01,420724
2024-06-12,179.24,183.0,178.72,178.84,203104
2024-06-13,180.24,183.25,178.36,178.42,221176
2024-06-14,179.34,179.82,171.82,178.13,371849
2024-06-17,175.79,183.74,175.55,181.44,269293
2024-06-18,181.39,183.71,180.26,183.57,156529
2024-06-19,183.84,183.94,180.92,182.25,107540
2024-06-20,183.23,183.35,180.34,181.23,115624
2024-06-21,181.55,182.2,175.61,178.4,184677
2024-06-24,176.24,181.23,176.24,180.22,180355
2024-06-25,180.24,182.44,178.84,179.56,144144
2024-06-26,178.36,179.87,176.44,178.75,104814
2024-06-27,178.75,179.12,176.25,178.24,126536
2024-06-28,177.04,178.72,173.08,173.27,194205
2024-07-01,172.43,172.52,164.41,169.31,269957
2024-07-02,167.09,170.2,165.35,169.32,144156
2024-07-03,170.24,175.74,169.55,172.74,162053
2024-07-04,173.63,176.23,172.44,172.84,118346
2024-07-05,174.24,175.73,169.74,170.86,135247
2024-07-08,169.25,171.61,168.25,169.15,108064
2024-07-09,168.54,170.54,166.33,169.01,164439
2024-07-10,168.25,173.33,166.29,166.29,177729
2024-07-11,168.24,172.22,166.73,170.25,208111
2024-07-12,171.09,175.01,170.24,173.04,195505
2024-07-15,171.54,173.19,170.35,171.36,114697
2024-07-16,170.74,173.74,170.54,172.54,151487
2024-07-17,171.24,175.9,169.18,174.13,185901
2024-07-18,173.24,182.34,172.92,181.59,319944
2024-07-19,179.59,183.33,179.44,182.68,208476
2024-07-22,184.43,187.42,180.64,182.76,171683
2024-07-23,182.25,182.94,179.44,179.44,119031
2024-07-24,179.24,182.33,178.63,179.56,144681
2024-07-25,179.36,183.97,178.3,180.97,205959
2024-07-26,183.24,186.54,181.29,182.59,233477
2024-07-29,180.24,180.24,173.24,177.77,213624
2024-07-30,176.46,178.57,176.46,178.13,127252
2024-07-31,175.24,180.12,175.24,179.55,198969
2024-08-01,178.24,179.24,173.34,173.54,230127
2024-08-02,172.24,173.24,169.98,170.33,154937
2024-08-05,168.25,173.43,168.24,170.24,193477
2024-08-06,171.65,172.63,166.95,168.19,157687
2024-08-07,168.19,169.47,166.91,166.91,127540
2024-08-08,166.25,166.84,163.36,165.64,146590
2024-08-09,166.84,168.11,163.24,163.24,154130
2024-08-12,163.81,164.36,160.04,162.24,174156
2024-08-13,162.13,168.2,161.62,167.02,193893
2024-08-14,166.23,167.69,164.96,165.45,99663
2024-08-15,165.24,167.84,164.53,166.64,144812
2024-08-16,166.64,169.24,166.12,166.86,111506
2024-08-19,166.59,171.18,166.39,168.84,140358
2024-08-20,168.24,169.24,166.9,168.11,84370
2024-08-21,167.24,168.65,165.24,167.25,111474
2024-08-22,168.22,173.21,167.54,172.04,199011
2024-08-23,170.24,175.76,170.24,175.04,184152
2024-08-26,175.14,177.8,174.24,177.16,148387
2024-08-27,175.76,177.73,174.74,176.74,99770
2024-08-28,176.04,176.93,174.52,176.06,106390
2024-08-29,172.41,176.23,172.41,174.04,156702
2024-08-30,174.04,179.2,174.04,177.58,254292
2024-09-02,177.68,178.83,174.24,174.43,129852
2024-09-03,173.54,179.94,173.26,178.89,181969
2024-09-04,178.56,182.24,178.09,180.39,165645
2024-09-05,180.39,182.79,179.04,180.04,123182
2024-09-06,179.36,181.74,178.64,179.19,75255
2024-09-09,178.35,181.9,176.71,178.39,134754
2024-09-10,178.74,178.74,174.29,174.4,154244
2024-09-11,175.64,181.02,174.4,179.8,211971
2024-09-12,181.24,185.4,179.95,182.59,207100
2024-09-13,182.12,182.12,176.74,176.74,172873
2024-09-18,176.84,180.67,176.53,179.64,113779
2024-09-19,180.24,181.46,176.84,180.14,157694
2024-09-20,180.14,181.14,176.92,178.84,155027
2024-09-23,179.9,182.67,178.74,181.44,157925
2024-09-24,185.2,191.41,182.13,190.76,354517
2024-09-25,200.63,200.64,195.83,196.34,420101
2024-09-26,196.94,200.57,192.17,198.75,354893
2024-09-27,205.24,224.92,204.91,220.05,701813
2024-09-30,226.26,248.24,225.24,245.13,913611
2024-10-08,289.24,294.74,260.9,292.24,1376465
2024-10-09,273.14,273.23,248.24,248.24,1086916
2024-10-10,248.24,259.23,243.4,251.24,608338
2024-10-11,248.74,248.74,231.17,235.03,476402
2024-10-14,243.23,246.04,238.18,242.96,467599
2024-10-15,243.05,244.08,234.37,234.46,327653
2024-10-16,232.06,232.06,226.57,227.09,335860
2024-10-17,227.24,232.12,224.1,224.74,261647
2024-10-18,223.24,252.12,222.84,243.13,680138
2024-10-21,252.24,255.77,244.99,246.6,584558
2024-10-22,247.24,247.8,240.5,243.79,278760
2024-10-23,241.05,248.18,240.1,242.54,321541
2024-10-24,243.01,244.74,238.24,239.4,214658
2024-10-25,245.58,258.24,239.54,252.12,578986
2024-10-28,249.37,251.85,246.24,249.48,276019
2024-10-29,249.48,250.95,244.48,245.02,269948
2024-10-30,243.24,245.54,237.74,241.27,271344
2024-10-31,240.23,243.74,237.24,239.22,255003
2024-11-01,239.77,243.06,238.42,239.44,259158
2024-11-04,237.24,247.54,237.24,244.44,242472
2024-11-05,243.82,256.06,242.37,254.63,484821
2024-11-06,252.23,262.74,246.74,249.74,452393
2024-11-07,251.24,256.04,247.12,256.04,335710
2024-11-08,262.9,265.24,250.34,250.74,402941
2024-11-11,245.59,262.23,244.25,260.74,491539
2024-11-12,271.52,278.44,264.22,266.26,744030
2024-11-13,262.24,281.44,260.01,275.24,557737
2024-11-14,276.24,278.23,267.9,268.24,426572
2024-11-15,262.74,268.24,258.8,258.8,351983
2024-11-18,258.8,264.19,254.24,256.16,306500
2024-11-19,255.26,265.24,251.24,261.96,348129
2024-11-20,260.19,263.14,257.84,260.79,227088
