Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA50,RSI,MACD,Signal_Line,MACD_Histogram,Upper_band,SMA,Lower_band,Std_dev,ATR,VWAP,Relative_Performance,ROC,Year,Month,Day,Close_yes,Open_yes,High_yes,Low_yes,Volume_MA5,Volume_MA20,Volume_Ratio,Price_Range,Price_Range_Pct,Gap,Gap_Pct,Volatility,Volatility_Pct,Momentum,Momentum_Pct,Trend_5,Trend_10,Trend_20,Support,Resistance,Support_Distance,Resistance_Distance,VPT,Money_Flow,Money_Flow_MA,Fear_Greed
2026-01-05,68.6,69.78,67.75,69.46,41565,69.35399999999997,68.011,68.499,73.27680000000001,47.89048748652274,-1.2390223814663983,-1.788450792237189,0.5494284107707907,73.32703852511565,68.499,63.670961474884336,2.4140192625578285,3.566228136488069,69.03140147610435,0.01847507331378284,8.633093525179847,2026,1,5,68.2,69.16,69.18,67.83,45753.0,48600.9,0.855231075967729,2.030000000000001,0.029225453498416373,0.3999999999999915,0.005865102639296063,2.476731504900725,0.03565694651455118,5.519999999999996,0.0863309352517985,1,1,1,63.42,74.38,0.08695652173913032,0.07083213360207316,-5140.337672115005,2887104.9,3354988.2399999998,-0.04219025026954526
2026-01-06,69.47,70.62,68.01,68.41,47044,69.17199999999998,68.48299999999998,68.36349999999999,72.9452,45.91189432727206,-1.1672597768731805,-1.6642125891643873,0.4969528122912068,73.03941392136389,68.36349999999999,63.68758607863609,2.3379569606819497,3.4979261267389212,68.8735720755707,-0.01511661387849117,7.410896530067523,2026,1,6,69.46,68.6,69.78,67.75,42827.2,48023.9,0.9795955763692661,2.6099999999999994,0.03815231691273205,0.010000000000005116,0.00014396775122379956,2.3986932297660943,0.03506348822929534,4.719999999999999,0.07410896530067514,0,0,1,63.42,74.38,0.07294255225844168,0.08726794328314573,-5851.483655414744,3218280.04,3307577.5379999997,-0.08176211345455883
2026-01-07,70.15,75.22,70.15,75.08,113971,70.01199999999997,69.34399999999998,68.56299999999999,72.78659999999999,57.83053132180378,-0.565653636216112,-1.4445007985747322,0.8788471623586203,73.97044708711991,68.56299999999999,63.15555291288007,2.7037235435599616,3.7345028319718554,69.4443848182593,0.0975003654436486,12.953211975327218,2026,1,7,68.41,69.47,70.62,68.01,52963.8,50865.05,2.240654437575506,5.069999999999993,0.06752797016515708,1.740000000000009,0.025434877941821504,2.7739618257152894,0.0369467478118712,8.61,0.12953211975327214,1,1,1,63.42,75.22,0.15530101225359613,0.001864677677144387,5260.73049456333,8556942.68,3532292.106,0.15661062643607565
2026-01-08,73.0,77.54,72.99,74.58,77879,71.14599999999997,70.15399999999998,68.62699999999998,72.7302,56.819759637151236,-0.1277496384225003,-1.1811505665442859,1.0534009281217855,74.28183191615878,68.62699999999998,62.97216808384118,2.827415958079399,3.7927526296881524,69.53368911922203,-0.006659563132658475,12.1841155234657,2026,1,8,75.08,70.15,75.22,70.15,60295.0,50747.75,1.534629614120823,4.550000000000011,0.061008313220702756,-2.0799999999999983,-0.02770378263185933,2.900867565329092,0.0388960520961262,8.099999999999994,0.12184115523465695,1,1,1,63.42,77.54,0.14963797264682216,0.039688924644676965,4742.09037735502,5808215.82,3528678.272,0.13639519274302472
2026-01-09,74.27,74.99,72.43,73.14,38894,72.13399999999997,70.50899999999999,68.73649999999999,72.458,53.89799220901407,0.10192158079954083,-0.9245361370755205,1.0264577178750613,74.64609651752991,68.73649999999999,62.82690348247007,2.954798258764961,3.704698870424712,69.57796719451964,-0.019308125502815687,5.101307659146426,2026,1,9,74.58,73.0,77.54,72.99,63870.6,49281.4,0.7892227087704489,2.559999999999988,0.03500136724090768,-0.3100000000000023,-0.004156610351300647,3.0315590482715784,0.04144871545353539,3.549999999999997,0.05101307659146425,1,1,1,63.42,77.54,0.13289581624282196,0.06015859994531044,3991.1201440485065,2844707.16,3428899.6325000003,0.0779598441802814
2026-01-12,73.05,74.21,71.19,73.01,52453,72.84399999999997,71.09899999999998,68.89699999999999,72.2832,53.6298787536515,0.27033154935470805,-0.6855625997894748,0.9558941491441828,75.08138711595599,68.89699999999999,62.71261288404399,3.0921935579779998,3.655791808251518,69.74905368845674,-0.001777413180202303,8.79153628371332,2026,1,12,73.14,74.27,74.99,72.43,66048.2,49530.2,1.0590104623038066,3.019999999999996,0.041364196685385504,-0.09000000000000341,-0.0012305168170632132,3.172523650942395,0.0434532755915956,5.900000000000006,0.08791536283713315,1,1,1,63.42,77.54,0.1313518696069032,0.06204629502807835,3897.8894905073553,3829593.5300000003,3454684.579,0.07259757507302993
2026-01-13,72.75,73.22,70.39,70.64,47035,73.28999999999996,71.23099999999998,68.9665,72.2244,48.858180333580556,0.21013615093661997,-0.5064228496442558,0.7165590005808757,75.19626813372737,68.9665,62.73673186627262,3.1148840668636866,3.596806679090695,69.81229097038683,-0.03246130667031921,1.9042123485285778,2026,1,13,73.01,73.05,74.21,71.19,66046.4,49773.45,0.944981712137696,2.8299999999999983,0.04006228765571911,-0.2600000000000051,-0.0035611560060266416,3.1958036218568053,0.04524070812368071,1.3200000000000074,0.01904212348528574,0,0,1,63.42,77.54,0.10220838052095128,0.09767836919592307,2371.071931268891,3322552.4,3474798.574,-0.02283639332838888
2026-01-14,70.64,74.42,70.31,71.2,54841,72.51399999999997,71.26299999999999,69.166,72.28119999999998,49.99043371157389,0.2052521647009513,-0.36408784677521433,0.5693400114761656,75.41351598637445,69.166,62.91848401362555,3.1237579931872226,3.633463344869931,69.99077371855277,0.007927519818799578,0.4514672686230403,2026,1,14,70.64,72.75,73.22,70.39,54220.4,50513.2,1.085676615221368,4.109999999999999,0.05772471910112358,0.0,0.0,3.204908078162786,0.0450127539067807,0.3200000000000074,0.004514672686230353,0,0,1,63.42,77.54,0.10926966292134832,0.08904494382022476,2805.825045651679,3904679.2,3535457.951,-0.0001913257685221481
2026-01-15,70.35,71.87,69.88,71.46,29601,71.88999999999996,71.518,69.41799999999999,72.20639999999999,50.53796561288794,0.21982736449122342,-0.24730480452192677,0.4671321690131502,75.60846234137694,69.41799999999999,63.227537658623056,3.095231170688468,3.516073105950651,70.14289123122755,0.0036516853932582194,3.7004788855028226,2026,1,15,71.2,70.64,74.42,70.31,44564.8,50452.9,0.5867056204896052,1.990000000000009,0.027847746991323946,-0.8500000000000085,-0.01193820224719113,3.1756401758252135,0.044439409121539514,2.549999999999997,0.03700478885502826,0,0,1,63.42,77.54,0.11251049538203181,0.08508256367198451,2913.9185849775154,2115287.46,3538912.2770000002,0.01075931225775875
2026-01-16,71.98,73.23,71.0,73.23,38990,71.90799999999997,72.02099999999999,69.74,72.1676,54.213170172097826,0.3699381066119116,-0.12385622229515908,0.4937943289070707,76.01949679512666,69.74,63.46050320487334,3.1397483975633285,3.4242107412398903,70.41692212963426,0.024769101595298215,7.375366568914954,2026,1,16,71.46,70.35,71.87,69.88,44584.0,50102.5,0.7782046804051694,2.230000000000004,0.030452000546224278,0.5200000000000102,0.007276798208788277,3.221313886893693,0.043988992037330234,5.030000000000001,0.07375366568914957,1,1,1,63.42,77.54,0.1339614911921344,0.05885566024853205,3879.665856178193,2855237.7,3528063.8410000005,0.08426340344195651
