Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,MA50,RSI,MACD,Signal_Line,MACD_Histogram,Upper_band,SMA,Lower_band,Std_dev,ATR,VWAP,Relative_Performance,ROC,Year,Month,Day,Close_yes,Open_yes,High_yes,Low_yes,Volume_MA5,Volume_MA20,Volume_Ratio,Price_Range,Price_Range_Pct,Gap,Gap_Pct,Volatility,Volatility_Pct,Momentum,Momentum_Pct,Trend_5,Trend_10,Trend_20,Support,Resistance,Support_Distance,Resistance_Distance,VPT,Money_Flow,Money_Flow_MA,Fear_Greed
2020-03-19,762.76,783.77,728.87,764.77,102265,814.394,863.8350000000003,865.8969999999999,859.8073999999999,33.546458970735515,-13.687982590300408,1.0222735189185657,-14.710256109218973,960.3326187251414,865.8969999999999,771.4613812748585,47.21780936257076,38.629527324271116,856.8599628359864,-0.015435913280807512,-18.621577620055973,2020,3,19,776.76,808.77,828.77,776.76,76440.4,51730.15,1.976893552406092,54.89999999999998,0.07178628868810227,-14.0,-0.01802358514856584,48.44445023888046,0.06334512368278104,-175.0,-0.1862157762005597,0,0,0,728.87,944.77,0.04694221792172807,0.23536488094459773,-16479.68897405127,78209204.05,44325494.4065,-0.3290708205852897
2020-03-20,779.77,811.77,779.77,804.05,60139,799.0440000000001,851.8130000000001,862.0169999999998,857.913,41.47142375579714,-15.901577053807387,-2.362496595626625,-13.539080458180761,959.8599729924476,862.0169999999998,764.174027007552,48.921486496223935,39.227418229680325,853.2069747288897,0.051361847352798806,-13.00702175771149,2020,3,20,764.77,762.76,783.77,728.87,73291.2,53290.1,1.1285210573821405,32.0,0.03979851999253778,15.0,0.01961374007871648,50.1923860969496,0.062424458798519496,-120.22000000000003,-0.13007021757711495,1,0,0,728.87,944.77,0.09350164790746839,0.17501399166718493,-13390.838836101302,48354762.949999996,45467485.004,-0.1705715248840572
2020-03-23,768.77,804.05,760.29,787.77,48472,789.4440000000001,842.3120000000001,858.6079999999998,856.7217999999999,39.375511822873875,-18.753349615770844,-5.64066719965547,-13.112682416115375,961.6707184970423,858.6079999999998,755.5452815029573,51.531359248521234,39.551174070417446,850.1595539147509,-0.020247497046203544,-10.76259090600149,2020,3,23,804.05,779.77,811.77,779.77,72739.0,53781.2,0.9012814886986531,43.75999999999999,0.05554920852533099,-35.27999999999997,-0.04387786829177287,52.87005904250431,0.06711357254338743,-95.00999999999999,-0.10762590906001494,0,0,0,728.87,944.77,0.07476801604529237,0.199296749051119,-14372.27551292488,38184787.44,45722601.001,-0.2124897635425225
2020-03-24,811.77,827.65,803.77,824.77,46651,791.624,832.3120000000001,857.6674999999998,856.2819999999998,46.04903685739199,-17.822364020548207,-8.077006563834017,-9.74535745671419,961.6012273217947,857.6674999999998,753.7337726782049,51.96686366089747,39.574661636816195,849.2997930692164,0.0469680236617287,-10.81349957286677,2020,3,24,787.77,768.77,804.05,760.29,66197.4,54194.45,0.8608077026337568,23.879999999999995,0.02895352643767353,24.0,0.03046574507787806,53.31687714183842,0.06464453986182624,-100.0,-0.10813499572866767,1,0,0,728.87,944.77,0.11627484025849628,0.1454951077270027,-12181.170241081574,38476345.269999996,46027335.170499995,-0.07901926285216021
2020-03-25,856.75,860.13,842.97,848.87,37049,806.046,824.47,857.9874999999998,855.9933999999998,49.916299108827566,-14.967348365937369,-9.455074924254687,-5.512273441682682,961.7713931385836,857.9874999999998,754.2036068614161,51.89194656929185,39.27361437704361,849.5611586009354,0.029220267468506478,-8.456901293015129,2020,3,25,824.77,811.77,827.65,803.77,58915.2,53868.85,0.6877629650530873,17.159999999999968,0.020215109498509746,31.980000000000018,0.038774446209246236,53.24001382765052,0.06271868934895863,-78.41999999999996,-0.08456901293015126,1,1,0,728.87,944.77,0.141364402087481,0.11297371800157854,-11098.588551640878,31449784.63,45764882.6185,-0.0016740178234486791
2020-03-26,842.1,859.97,830.77,833.69,30049,819.8300000000002,817.1120000000001,856.8639999999998,855.5289999999998,47.60174820374476,-13.770884837499466,-10.318236906903643,-3.4526479305958233,961.1877902685737,856.8639999999998,752.5402097314259,52.161895134286944,38.55407049296907,848.9044889312237,-0.017882596864066236,-8.110044418971196,2020,3,26,848.87,856.75,860.13,842.97,44472.0,53646.4,0.5601307823078528,29.200000000000045,0.035025009296021356,-6.769999999999982,-0.007975308351102032,53.516975211510896,0.06419289569445584,-73.57999999999993,-0.08110044418971192,1,1,0,728.87,944.77,0.12573018747975873,0.13323897371924806,-11635.942704809204,25051550.810000002,45540669.775,-0.04796503592510476
2020-03-27,853.77,860.77,843.78,844.27,36261,827.8740000000001,813.4590000000001,857.7889999999998,854.9849999999997,49.36405633862032,-11.832562872626454,-10.621102100048205,-1.2114607725782491,961.3186339991696,857.7889999999998,754.2593660008299,51.7648169995849,37.73449402918556,849.8367094393915,0.012690568436708904,-4.147366030881017,2020,3,27,833.69,842.1,859.97,830.77,39696.4,52962.1,0.6846594073875469,16.99000000000001,0.020123894014947834,20.079999999999927,0.02408569132411319,53.10958164121857,0.06290592066663339,-36.52999999999997,-0.04147366030881015,1,1,0,728.87,944.77,0.13668613121394813,0.11903774858753717,-11175.770002725701,30614074.47,45009136.789,-0.012718873227593549
2020-03-30,829.02,845.77,825.77,840.77,30687,838.4740000000002,813.9590000000001,857.0884999999996,854.1749999999997,48.77957570342622,-10.458292810430976,-10.58854024212476,0.1302474316937836,960.8793510948979,857.0884999999996,753.2976489051014,51.895425547449136,36.46774445567231,849.343704610915,-0.004145593234391787,0.5982507149095984,2020,3,30,844.27,853.77,860.77,843.78,36139.4,52113.3,0.5888515983443765,20.0,0.02378771840098957,-15.25,-0.018062941949850166,53.24358318392138,0.06332716817193927,5.0,0.005982507149096043,1,1,0,728.87,944.77,0.1330922844535366,0.12369613568514576,-11302.985822309482,25800708.99,44262103.2815,-0.02440848593147564
2020-03-31,850.77,883.77,850.57,879.77,47984,849.4740000000002,820.549,856.9884999999997,853.9095999999996,55.151729296692075,-6.1512915615834345,-9.701090506016495,3.5497989444330607,960.6878518350134,856.9884999999997,753.289148164986,51.849675917506836,36.934334137410005,849.180775778846,0.0463860508819296,8.097116247066483,2020,3,31,840.77,829.02,845.77,825.77,36406.0,52000.0,0.9227692307692308,33.19999999999993,0.03773713584232235,10.0,0.011893859200494785,53.196645053988114,0.06046653676982406,65.89999999999998,0.08097116247066483,1,1,1,728.87,944.77,0.17152210236766424,0.07388294667924572,-9077.197556790972,42214883.68,44157400.3405,0.1030345859338415
2020-04-01,885.77,897.77,871.77,871.77,33205,854.0540000000001,830.05,855.6924999999995,853.8215999999996,53.67657342980705,-3.3449368331521327,-8.429859771443622,5.08492293829149,957.9627949785657,855.6924999999995,753.4222050214333,51.1351474892831,36.153310270452145,847.3568012638658,-0.009093285745137902,12.231577321180275,2020,4,1,879.77,850.77,883.77,850.57,35637.2,50970.6,0.6514539754289728,26.0,0.02982438028379045,6.0,0.00681996430885345,52.46355435467858,0.0601804998505094,95.00999999999999,0.12231577321180287,1,1,1,728.87,944.77,0.16391938240590978,0.08373768310448858,-9379.140109958276,28947122.849999998,43190284.5745,0.073531468596141
